Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2022;00:00;01:00;43.915,5;12.452,25;2.539,25
01.01.2022;01:00;02:00;41.535,75;11.480;2.866,25
01.01.2022;02:00;03:00;40.480,75;11.818,75;3.203,75
01.01.2022;03:00;04:00;39.564;12.183;3.708
01.01.2022;04:00;05:00;39.338,25;13.256,75;3.910
01.01.2022;05:00;06:00;38.826,5;14.800,75;3.244,5
01.01.2022;06:00;07:00;38.413;14.722,75;2.701,5
01.01.2022;07:00;08:00;39.086,75;16.280,25;2.245
01.01.2022;08:00;09:00;40.305;19.239,5;2.055,75
01.01.2022;09:00;10:00;42.511;20.682,25;1.635
01.01.2022;10:00;11:00;44.382,5;21.962;1.345
01.01.2022;11:00;12:00;46.732,25;23.928,5;1.520,5
01.01.2022;12:00;13:00;47.314,75;24.236,5;708,5
01.01.2022;13:00;14:00;46.391,75;25.149,75;1.040,25
01.01.2022;14:00;15:00;45.729,25;26.907,25;762
01.01.2022;15:00;16:00;45.663;29.048;475,5
01.01.2022;16:00;17:00;47.864;31.050,25;100,25
01.01.2022;17:00;18:00;51.405;32.532,5;9,5
01.01.2022;18:00;19:00;52.287,75;31.339,5;8
01.01.2022;19:00;20:00;51.321,25;28.326,75;76
01.01.2022;20:00;21:00;49.466;25.280;115,75
01.01.2022;21:00;22:00;48.009,25;23.176;174,25
01.01.2022;22:00;23:00;47.437,25;22.176,5;515
01.01.2022;23:00;00:00;44.832;19.104,75;591,5
02.01.2022;00:00;01:00;42.674,25;16.858,75;3.821,75
02.01.2022;01:00;02:00;41.513,25;15.927,25;4.628,25
02.01.2022;02:00;03:00;40.795,5;16.057;4.518
02.01.2022;03:00;04:00;40.566,5;15.473,5;4.315,5
02.01.2022;04:00;05:00;40.742,5;16.749,75;4.509
02.01.2022;05:00;06:00;40.775,5;16.455,25;4.213,25
02.01.2022;06:00;07:00;40.405,75;15.587,25;2.421,25
02.01.2022;07:00;08:00;42.254,25;16.387,25;1.752,5
02.01.2022;08:00;09:00;45.418,25;17.009,25;1.401
02.01.2022;09:00;10:00;48.344;17.672,25;1.131,75
02.01.2022;10:00;11:00;50.584;16.092,5;899
02.01.2022;11:00;12:00;53.645,75;15.650;744,25
02.01.2022;12:00;13:00;54.538,5;14.036,5;873,5
02.01.2022;13:00;14:00;53.342,75;12.908,25;1.526,75
02.01.2022;14:00;15:00;52.709;12.333,5;1.690,75
02.01.2022;15:00;16:00;53.245,75;13.037,5;2.045,5
02.01.2022;16:00;17:00;55.536,5;14.897,25;1.803,25
02.01.2022;17:00;18:00;58.611,75;16.726,5;850,75
02.01.2022;18:00;19:00;58.765,5;16.320;394
02.01.2022;19:00;20:00;57.348,5;16.013,5;977
02.01.2022;20:00;21:00;54.782,25;14.210,25;1.481,5
02.01.2022;21:00;22:00;52.456;13.593,75;1.346,75
02.01.2022;22:00;23:00;50.894,75;14.458;2.137
02.01.2022;23:00;00:00;47.862,25;12.186,75;2.035
03.01.2022;00:00;01:00;45.379,75;10.537,25;3.645,25
03.01.2022;01:00;02:00;43.676,75;11.150;4.641
03.01.2022;02:00;03:00;42.606,5;10.836;4.638,5
03.01.2022;03:00;04:00;43.139,25;12.233,25;4.677
03.01.2022;04:00;05:00;44.606,25;12.013,25;3.615
03.01.2022;05:00;06:00;48.399,25;11.577,5;1.599,25
03.01.2022;06:00;07:00;55.425,75;13.166,25;1.197,75
03.01.2022;07:00;08:00;61.601;18.095;539,5
03.01.2022;08:00;09:00;65.032,75;22.386,5;259,25
03.01.2022;09:00;10:00;66.440,75;23.160,5;67,5
03.01.2022;10:00;11:00;67.857;22.828,5;106,75
03.01.2022;11:00;12:00;69.433,5;22.446,75;487,25
03.01.2022;12:00;13:00;70.097,25;23.104,75;749,25
03.01.2022;13:00;14:00;69.303;23.996;680,5
03.01.2022;14:00;15:00;68.287,5;25.377,5;696,25
03.01.2022;15:00;16:00;67.281;27.626,25;105,5
03.01.2022;16:00;17:00;67.884,75;29.576;252
03.01.2022;17:00;18:00;70.147,75;32.423;209
03.01.2022;18:00;19:00;69.958,25;32.272,5;8,25
03.01.2022;19:00;20:00;68.037,5;31.780,25;31
03.01.2022;20:00;21:00;64.029,75;30.049;267,25
03.01.2022;21:00;22:00;60.208,5;27.837,5;1.720,5
03.01.2022;22:00;23:00;57.344;27.054,25;2.553
03.01.2022;23:00;00:00;53.664,5;25.406,25;2.374,25
04.01.2022;00:00;01:00;50.704,25;24.073,5;4.076,5
04.01.2022;01:00;02:00;48.451;23.408,25;4.969,5
04.01.2022;02:00;03:00;47.652,75;24.809;4.603
04.01.2022;03:00;04:00;48.125;27.032,75;4.138,25
04.01.2022;04:00;05:00;49.285,5;30.434,25;3.440,25
04.01.2022;05:00;06:00;52.020,25;34.365,25;2.606,25
04.01.2022;06:00;07:00;57.654,5;40.452,75;962,5
04.01.2022;07:00;08:00;62.532,25;45.966;442
04.01.2022;08:00;09:00;65.949;50.110,5;119,5
04.01.2022;09:00;10:00;67.254,5;52.091;1,5
04.01.2022;10:00;11:00;67.964;51.438,25;1
04.01.2022;11:00;12:00;69.348;51.868;4
04.01.2022;12:00;13:00;69.597;50.551,5;5,5
04.01.2022;13:00;14:00;68.648,25;48.426,5;371,25
04.01.2022;14:00;15:00;67.950;48.013,75;369,75
04.01.2022;15:00;16:00;67.794,75;47.489;331
04.01.2022;16:00;17:00;68.510;47.804,25;48,75
04.01.2022;17:00;18:00;69.951,25;48.430,75;15,5
04.01.2022;18:00;19:00;69.679,5;48.134,25;4
04.01.2022;19:00;20:00;68.272,25;46.147,75;58,25
04.01.2022;20:00;21:00;64.518,75;42.165,75;7,25
04.01.2022;21:00;22:00;61.368;39.237,75;248,5
04.01.2022;22:00;23:00;58.357,25;36.320,25;779,25
04.01.2022;23:00;00:00;54.923;32.333;2.260,25
05.01.2022;00:00;01:00;52.419,25;28.923,5;3.229,5
05.01.2022;01:00;02:00;50.542,5;25.450,5;5.065,5
05.01.2022;02:00;03:00;49.658,25;22.284,25;5.646,75
05.01.2022;03:00;04:00;50.656;21.059,25;5.408,5
05.01.2022;04:00;05:00;52.242,75;21.266;4.832,75
05.01.2022;05:00;06:00;55.517,75;22.665;4.089,75
05.01.2022;06:00;07:00;61.375,25;26.151,25;1.328
05.01.2022;07:00;08:00;66.916,5;29.992,75;709,75
05.01.2022;08:00;09:00;70.207,25;31.770,5;517,5
05.01.2022;09:00;10:00;71.655,5;31.010,25;227
05.01.2022;10:00;11:00;72.759;28.583,25;1.286,5
05.01.2022;11:00;12:00;74.354,25;27.346,5;1.520,5
05.01.2022;12:00;13:00;74.178,5;25.496;2.359,5
05.01.2022;13:00;14:00;73.454,5;25.007;1.645,5
05.01.2022;14:00;15:00;71.986;25.781,25;742,5
05.01.2022;15:00;16:00;71.186,75;28.074;241,75
05.01.2022;16:00;17:00;71.700,5;31.306;224,25
05.01.2022;17:00;18:00;73.590;35.096,25;242,75
05.01.2022;18:00;19:00;73.282,75;35.266;226,75
05.01.2022;19:00;20:00;71.410,25;34.178;906
05.01.2022;20:00;21:00;67.411,25;31.803,75;1.404
05.01.2022;21:00;22:00;64.088,75;30.413,5;2.655,75
05.01.2022;22:00;23:00;60.924,25;28.881,5;3.144
05.01.2022;23:00;00:00;57.453,25;26.588,75;3.072,25
06.01.2022;00:00;01:00;54.833,75;25.414;4.147,25
06.01.2022;01:00;02:00;53.614;26.216,5;3.775,5
06.01.2022;02:00;03:00;52.554,5;26.746,75;3.814,5
06.01.2022;03:00;04:00;52.058,5;28.571,25;3.659,75
06.01.2022;04:00;05:00;52.598,25;31.034,5;2.744
06.01.2022;05:00;06:00;54.319,75;34.781,5;1.716,75
06.01.2022;06:00;07:00;57.928,75;40.937;647,75
06.01.2022;07:00;08:00;62.216;48.066,5;131,25
06.01.2022;08:00;09:00;64.253,25;52.023,25;82,5
06.01.2022;09:00;10:00;65.343,75;52.714;5,5
06.01.2022;10:00;11:00;65.848,75;51.336,5;7,5
06.01.2022;11:00;12:00;66.439,5;50.114;188,75
06.01.2022;12:00;13:00;65.782,5;48.898,5;191
06.01.2022;13:00;14:00;64.468,5;48.604,5;419,75
06.01.2022;14:00;15:00;63.007,25;50.643,5;220,75
06.01.2022;15:00;16:00;62.445,75;54.011,25;183
06.01.2022;16:00;17:00;63.619,75;55.505,5;58,25
06.01.2022;17:00;18:00;67.355,5;55.455,5;42,5
06.01.2022;18:00;19:00;67.949;52.699,25;233
06.01.2022;19:00;20:00;67.029,25;48.425,75;890,75
06.01.2022;20:00;21:00;64.571,5;43.179;1.420,5
06.01.2022;21:00;22:00;61.741;38.922,75;973,75
06.01.2022;22:00;23:00;59.937,5;36.719,75;2.196
06.01.2022;23:00;00:00;57.181,25;33.027,75;3.740
07.01.2022;00:00;01:00;53.909,75;28.813,5;4.380,5
07.01.2022;01:00;02:00;52.328,75;26.300;5.286,5
07.01.2022;02:00;03:00;51.416;23.998,75;5.154,25
07.01.2022;03:00;04:00;51.584,75;22.964,25;5.248,25
07.01.2022;04:00;05:00;53.278,5;24.016,75;4.978,25
07.01.2022;05:00;06:00;56.068,75;26.013;3.930,25
07.01.2022;06:00;07:00;61.436,75;29.227,25;2.585,5
07.01.2022;07:00;08:00;66.663,75;33.227,5;1.571,5
07.01.2022;08:00;09:00;69.763;35.828,25;1.151
07.01.2022;09:00;10:00;71.572,75;37.235,25;395,5
07.01.2022;10:00;11:00;72.305;37.436;915,25
07.01.2022;11:00;12:00;73.103,25;37.834,5;885,25
07.01.2022;12:00;13:00;73.275,5;39.216,25;287,75
07.01.2022;13:00;14:00;71.417,25;39.205;305,25
07.01.2022;14:00;15:00;70.507,25;41.261,75;631,25
07.01.2022;15:00;16:00;69.881;43.341,25;122,25
07.01.2022;16:00;17:00;70.102,25;44.977,25;428
07.01.2022;17:00;18:00;71.542,75;46.675,25;15,5
07.01.2022;18:00;19:00;70.474,25;46.954,25;1
07.01.2022;19:00;20:00;68.051,75;45.237,5;1,25
07.01.2022;20:00;21:00;64.440;42.238,5;141,5
07.01.2022;21:00;22:00;61.454,25;39.972;326,25
07.01.2022;22:00;23:00;59.034,25;38.745;877,75
07.01.2022;23:00;00:00;55.817,75;36.910,75;1.372,25
08.01.2022;00:00;01:00;52.694,75;34.189;2.059,5
08.01.2022;01:00;02:00;50.532,5;32.715;2.594,5
08.01.2022;02:00;03:00;49.608,25;32.240,75;3.430
08.01.2022;03:00;04:00;49.543,25;32.387;3.131,5
08.01.2022;04:00;05:00;49.077,25;33.028;2.009,75
08.01.2022;05:00;06:00;49.137,75;32.616,75;2.091,25
08.01.2022;06:00;07:00;50.276;33.441;1.952
08.01.2022;07:00;08:00;52.476,25;35.560,25;498
08.01.2022;08:00;09:00;55.578,25;37.255,75;325,75
08.01.2022;09:00;10:00;59.370,75;39.736,25;171,5
08.01.2022;10:00;11:00;61.154;39.963,75;16,75
08.01.2022;11:00;12:00;62.648,75;39.045,75;197
08.01.2022;12:00;13:00;62.918,5;37.074,25;331,75
08.01.2022;13:00;14:00;62.020,5;34.324;545,5
08.01.2022;14:00;15:00;61.182;33.137;803,75
08.01.2022;15:00;16:00;61.419;34.031,5;533,75
08.01.2022;16:00;17:00;63.084,5;34.222,25;325,75
08.01.2022;17:00;18:00;66.666;35.154,5;87
08.01.2022;18:00;19:00;66.967;33.064,75;205,5
08.01.2022;19:00;20:00;64.981;29.338,25;557
08.01.2022;20:00;21:00;61.911,25;25.032,75;1.333,5
08.01.2022;21:00;22:00;59.155;21.506,75;1.750
08.01.2022;22:00;23:00;57.822;20.761;2.488,75
08.01.2022;23:00;00:00;55.061,25;18.394,25;4.579,25
09.01.2022;00:00;01:00;51.984,25;16.124,25;4.627,25
09.01.2022;01:00;02:00;49.889;15.481,5;5.321,25
09.01.2022;02:00;03:00;48.590,75;16.380,75;4.328,5
09.01.2022;03:00;04:00;47.826,5;16.727;4.888,5
09.01.2022;04:00;05:00;48.144,5;18.213,5;5.526
09.01.2022;05:00;06:00;47.801,5;18.878,25;4.879,25
09.01.2022;06:00;07:00;47.680,5;17.608,5;4.425
09.01.2022;07:00;08:00;49.479,25;19.336,75;3.978,75
09.01.2022;08:00;09:00;52.242,25;22.444,25;2.137,25
09.01.2022;09:00;10:00;56.120,25;26.605;1.333,75
09.01.2022;10:00;11:00;58.455,75;28.936,75;762,25
09.01.2022;11:00;12:00;60.533;30.736,75;377
09.01.2022;12:00;13:00;60.358,5;31.958,25;60,75
09.01.2022;13:00;14:00;58.506,25;32.059;110,25
09.01.2022;14:00;15:00;57.021,25;33.710,75;84,75
09.01.2022;15:00;16:00;56.408,75;36.254,5;195,75
09.01.2022;16:00;17:00;58.000;39.941;405,5
09.01.2022;17:00;18:00;61.318;44.752,5;55,5
09.01.2022;18:00;19:00;61.867;46.600;22,75
09.01.2022;19:00;20:00;60.102,75;45.779,5;74,5
09.01.2022;20:00;21:00;57.554;44.086,75;321,25
09.01.2022;21:00;22:00;55.441,25;43.140,25;125,5
09.01.2022;22:00;23:00;54.540,25;43.623,5;538,25
09.01.2022;23:00;00:00;51.787,5;41.999,25;1.439,75
10.01.2022;00:00;01:00;49.782,25;41.451,75;3.411,5
10.01.2022;01:00;02:00;48.278,75;41.175,5;3.839,5
10.01.2022;02:00;03:00;47.959,75;41.936,25;4.194,75
10.01.2022;03:00;04:00;48.173,25;43.160,75;3.623,25
10.01.2022;04:00;05:00;49.626,5;45.312,25;3.264,75
10.01.2022;05:00;06:00;53.471,25;49.592,75;2.551
10.01.2022;06:00;07:00;61.339,25;57.903,5;574,25
10.01.2022;07:00;08:00;67.832,5;64.577;54,75
10.01.2022;08:00;09:00;71.346;68.087;10
10.01.2022;09:00;10:00;71.605,75;67.340,75;10
10.01.2022;10:00;11:00;71.847,5;65.941,5;56,25
10.01.2022;11:00;12:00;72.357;65.253,25;6,5
10.01.2022;12:00;13:00;72.463;65.053,5;18
10.01.2022;13:00;14:00;71.642,25;64.793;83
10.01.2022;14:00;15:00;70.488,75;65.238;87,25
10.01.2022;15:00;16:00;70.056;66.813,75;92
10.01.2022;16:00;17:00;70.368,25;68.309,75;115,25
10.01.2022;17:00;18:00;73.064;70.869,25;22,25
10.01.2022;18:00;19:00;72.763;70.108,5;6,75
10.01.2022;19:00;20:00;71.159;68.058,5;85
10.01.2022;20:00;21:00;67.146,75;63.934,25;181
10.01.2022;21:00;22:00;63.492,25;60.208,75;564,25
10.01.2022;22:00;23:00;60.544,25;57.194,5;1.493,5
10.01.2022;23:00;00:00;57.059,75;53.458,25;2.788,5
11.01.2022;00:00;01:00;55.269,5;51.138,25;5.546,25
11.01.2022;01:00;02:00;53.686,25;49.355,75;5.708,75
11.01.2022;02:00;03:00;53.278,5;49.009,75;5.837,5
11.01.2022;03:00;04:00;53.324,25;48.799,5;5.501
11.01.2022;04:00;05:00;54.555,5;49.584,75;5.496
11.01.2022;05:00;06:00;57.543,25;51.868,75;4.770,75
11.01.2022;06:00;07:00;63.878,75;57.413,75;1.095
11.01.2022;07:00;08:00;69.697;62.299,25;66,5
11.01.2022;08:00;09:00;72.194,75;63.618;4,75
11.01.2022;09:00;10:00;72.401,25;62.018,5;6,5
11.01.2022;10:00;11:00;72.832,25;59.135,75;129,5
11.01.2022;11:00;12:00;73.795,75;57.183,5;827
11.01.2022;12:00;13:00;73.435;56.019;642,25
11.01.2022;13:00;14:00;71.949,5;56.229,75;288,5
11.01.2022;14:00;15:00;70.745,25;57.462,75;280,5
11.01.2022;15:00;16:00;70.382,25;60.084,25;8,75
11.01.2022;16:00;17:00;70.827,75;62.036,25;8,25
11.01.2022;17:00;18:00;73.484,75;64.604;4,5
11.01.2022;18:00;19:00;73.217,5;64.464,75;1,5
11.01.2022;19:00;20:00;71.552;62.880,25;11,5
11.01.2022;20:00;21:00;67.730;59.210,5;288,25
11.01.2022;21:00;22:00;64.208,75;56.527,75;1.297
11.01.2022;22:00;23:00;61.323,25;54.508,25;2.322,5
11.01.2022;23:00;00:00;57.715,25;51.291,75;1.779,75
12.01.2022;00:00;01:00;55.035,25;48.889,75;3.217
12.01.2022;01:00;02:00;53.666;47.987;4.765
12.01.2022;02:00;03:00;52.907,5;47.333,25;5.525,5
12.01.2022;03:00;04:00;53.255;47.938;5.590,25
12.01.2022;04:00;05:00;54.518;49.534,25;5.243,5
12.01.2022;05:00;06:00;56.906,25;52.132,25;2.465,75
12.01.2022;06:00;07:00;63.649;59.132,5;531
12.01.2022;07:00;08:00;69.713,5;65.356,25;56,75
12.01.2022;08:00;09:00;72.176;67.596,5;3,5
12.01.2022;09:00;10:00;72.622,5;65.941;4,5
12.01.2022;10:00;11:00;73.158,5;63.653;4,25
12.01.2022;11:00;12:00;73.302,25;60.973,5;81,25
12.01.2022;12:00;13:00;73.043;58.765;379,5
12.01.2022;13:00;14:00;72.313,75;58.052;472,75
12.01.2022;14:00;15:00;71.302,25;58.611,5;397
12.01.2022;15:00;16:00;71.098,5;60.398,75;30,75
12.01.2022;16:00;17:00;71.532,75;61.307,25;11,75
12.01.2022;17:00;18:00;74.485,75;63.344,5;7,75
12.01.2022;18:00;19:00;74.049,75;62.223,75;137,25
12.01.2022;19:00;20:00;72.616;59.782,75;141,75
12.01.2022;20:00;21:00;69.112,25;54.725,25;843,25
12.01.2022;21:00;22:00;65.693;50.182,25;719,25
12.01.2022;22:00;23:00;62.632,5;46.996,5;1.633,75
12.01.2022;23:00;00:00;59.282,25;42.995;2.137,25
13.01.2022;00:00;01:00;56.798;39.393,25;2.889
13.01.2022;01:00;02:00;55.241,5;36.438,75;4.198,25
13.01.2022;02:00;03:00;54.770,25;34.696,5;5.481,25
13.01.2022;03:00;04:00;55.536;34.589,25;5.185
13.01.2022;04:00;05:00;56.307,75;34.813;4.518,5
13.01.2022;05:00;06:00;59.457,25;37.373,25;1.608,75
13.01.2022;06:00;07:00;66.670,5;43.911,5;445
13.01.2022;07:00;08:00;72.660,75;49.985,25;129
13.01.2022;08:00;09:00;75.287,25;52.892;0
13.01.2022;09:00;10:00;75.507,75;51.709,5;1,75
13.01.2022;10:00;11:00;75.511,25;48.835,5;121,25
13.01.2022;11:00;12:00;75.788;46.221,25;398,5
13.01.2022;12:00;13:00;75.669;44.415,25;274,5
13.01.2022;13:00;14:00;74.472,5;43.328,25;425,25
13.01.2022;14:00;15:00;73.629,75;44.240,25;1.251,75
13.01.2022;15:00;16:00;73.177,75;46.681,25;703
13.01.2022;16:00;17:00;72.974;48.898,75;266,5
13.01.2022;17:00;18:00;75.663,25;51.961,25;72,25
13.01.2022;18:00;19:00;75.750,5;51.810;92,5
13.01.2022;19:00;20:00;74.070;49.737,25;221,25
13.01.2022;20:00;21:00;70.298,25;45.254,75;294,25
13.01.2022;21:00;22:00;66.696,25;41.599,25;1.875,25
13.01.2022;22:00;23:00;64.026,25;38.653,25;2.274
13.01.2022;23:00;00:00;60.648,75;34.335,5;3.529
14.01.2022;00:00;01:00;58.062;31.657;5.321,25
14.01.2022;01:00;02:00;55.896,25;29.765;5.733,5
14.01.2022;02:00;03:00;55.335,25;29.419,25;5.661,25
14.01.2022;03:00;04:00;55.832,5;29.885,25;5.555
14.01.2022;04:00;05:00;57.240,5;31.231,75;5.330,25
14.01.2022;05:00;06:00;60.118,75;33.880,25;3.471,5
14.01.2022;06:00;07:00;66.898,5;40.380,5;861,5
14.01.2022;07:00;08:00;72.500,75;46.686,75;200,75
14.01.2022;08:00;09:00;75.349,5;49.430,5;64,25
14.01.2022;09:00;10:00;75.355;47.948,75;16
14.01.2022;10:00;11:00;75.110,75;45.850,5;70
14.01.2022;11:00;12:00;75.111,75;44.944;446,75
14.01.2022;12:00;13:00;74.611,5;44.817,5;112
14.01.2022;13:00;14:00;72.878,75;44.704,25;225
14.01.2022;14:00;15:00;71.107,75;45.755,25;218
14.01.2022;15:00;16:00;70.405,5;50.012;16,75
14.01.2022;16:00;17:00;71.011,25;54.378;108
14.01.2022;17:00;18:00;73.112,25;58.148,25;203
14.01.2022;18:00;19:00;72.535,25;59.970;8,25
14.01.2022;19:00;20:00;70.386,75;59.905;6
14.01.2022;20:00;21:00;66.278,25;57.319;263
14.01.2022;21:00;22:00;62.411,25;55.083,5;453,75
14.01.2022;22:00;23:00;59.249,5;53.274,25;448,25
14.01.2022;23:00;00:00;56.237,75;50.891,75;1.256,75
15.01.2022;00:00;01:00;53.740,25;48.334;1.253,25
15.01.2022;01:00;02:00;52.077,25;46.734;1.849,25
15.01.2022;02:00;03:00;51.138;45.927,75;2.949,25
15.01.2022;03:00;04:00;50.046;45.200;2.974,25
15.01.2022;04:00;05:00;50.220,25;45.830,5;2.701,25
15.01.2022;05:00;06:00;49.944;45.747,25;1.631
15.01.2022;06:00;07:00;50.275,25;46.267,25;605
15.01.2022;07:00;08:00;53.121;49.554,5;542,5
15.01.2022;08:00;09:00;56.433;52.961,25;248
15.01.2022;09:00;10:00;59.359;54.604,25;32
15.01.2022;10:00;11:00;61.009,75;53.999,25;103
15.01.2022;11:00;12:00;61.965,25;53.364,25;147,25
15.01.2022;12:00;13:00;61.609,5;52.809,25;62,25
15.01.2022;13:00;14:00;60.031,25;51.981;13,25
15.01.2022;14:00;15:00;58.675,75;52.431,5;68
15.01.2022;15:00;16:00;58.293,75;54.195,75;162
15.01.2022;16:00;17:00;59.615,75;56.914,5;310,25
15.01.2022;17:00;18:00;62.547,75;59.926;12,25
15.01.2022;18:00;19:00;63.134,75;60.068,25;2
15.01.2022;19:00;20:00;61.054;57.046;6
15.01.2022;20:00;21:00;57.637;52.737,5;177,5
15.01.2022;21:00;22:00;55.613;49.560;344
15.01.2022;22:00;23:00;54.422,25;47.677;439
15.01.2022;23:00;00:00;51.614,75;44.705;322,5
16.01.2022;00:00;01:00;48.897,5;41.638,25;183
16.01.2022;01:00;02:00;47.274,25;39.363,25;227
16.01.2022;02:00;03:00;46.394,25;37.380,75;481
16.01.2022;03:00;04:00;45.933,25;35.562,75;535
16.01.2022;04:00;05:00;46.417,75;34.509,75;687
16.01.2022;05:00;06:00;46.481,25;33.532;812,5
16.01.2022;06:00;07:00;47.402,25;33.726,75;1.115,5
16.01.2022;07:00;08:00;49.513,5;34.225,25;881
16.01.2022;08:00;09:00;52.572;33.944;359
16.01.2022;09:00;10:00;56.730,25;34.949,75;255,25
16.01.2022;10:00;11:00;59.405,25;34.736,75;79
16.01.2022;11:00;12:00;62.005;34.761;91,25
16.01.2022;12:00;13:00;62.932,5;32.365,75;1.534
16.01.2022;13:00;14:00;62.032;31.341;1.984,5
16.01.2022;14:00;15:00;61.107;30.835,75;1.710,75
16.01.2022;15:00;16:00;60.455,75;31.343,25;1.766,75
16.01.2022;16:00;17:00;61.493,5;32.837,75;806
16.01.2022;17:00;18:00;64.944,5;35.332,25;534,75
16.01.2022;18:00;19:00;65.604,75;34.947;1.125,25
16.01.2022;19:00;20:00;64.118,5;33.441,5;1.679,75
16.01.2022;20:00;21:00;60.044,75;30.133;2.385,75
16.01.2022;21:00;22:00;58.796;27.648;3.718,75
16.01.2022;22:00;23:00;58.221,5;27.112,5;3.540,75
16.01.2022;23:00;00:00;55.459,25;23.502;4.505,5
17.01.2022;00:00;01:00;53.404,5;20.677,5;5.071,25
17.01.2022;01:00;02:00;52.038;18.330,25;5.737
17.01.2022;02:00;03:00;51.564;17.162;5.921,75
17.01.2022;03:00;04:00;52.017;16.609,5;5.720,75
17.01.2022;04:00;05:00;53.521;17.516,25;5.907,75
17.01.2022;05:00;06:00;57.082,5;21.336,75;4.535,5
17.01.2022;06:00;07:00;64.898,25;28.131,25;1.876,25
17.01.2022;07:00;08:00;71.610,5;34.289,25;149
17.01.2022;08:00;09:00;75.222,75;37.921,25;15,5
17.01.2022;09:00;10:00;76.405,5;37.797;107,75
17.01.2022;10:00;11:00;77.430,75;37.261,25;84,75
17.01.2022;11:00;12:00;77.417,25;36.186,5;147,5
17.01.2022;12:00;13:00;77.273;35.824,25;391,75
17.01.2022;13:00;14:00;76.390;36.097;427,5
17.01.2022;14:00;15:00;75.207;36.918,25;542,5
17.01.2022;15:00;16:00;74.538,75;39.781;310,25
17.01.2022;16:00;17:00;73.723,25;41.965;319
17.01.2022;17:00;18:00;76.206;46.348,75;466
17.01.2022;18:00;19:00;76.009;48.649,5;835,25
17.01.2022;19:00;20:00;74.238;49.871,75;828,5
17.01.2022;20:00;21:00;69.901,5;48.241;1.174,25
17.01.2022;21:00;22:00;65.601;46.114;1.448,5
17.01.2022;22:00;23:00;62.270;44.919;2.053,25
17.01.2022;23:00;00:00;58.426,25;41.971,75;3.116,25
18.01.2022;00:00;01:00;55.587,75;39.860,25;3.079
18.01.2022;01:00;02:00;54.085;39.207,25;4.467,25
18.01.2022;02:00;03:00;52.513,75;39.014,75;2.869
18.01.2022;03:00;04:00;52.523,75;40.154,25;3.050,75
18.01.2022;04:00;05:00;54.146,75;42.399,25;2.986,5
18.01.2022;05:00;06:00;56.982,5;46.096;2.013,25
18.01.2022;06:00;07:00;64.063,5;55.193,5;733,25
18.01.2022;07:00;08:00;69.876,25;62.935,25;195,75
18.01.2022;08:00;09:00;71.582,5;65.936,25;10,25
18.01.2022;09:00;10:00;71.643;65.083,75;6,25
18.01.2022;10:00;11:00;72.109;63.243,75;137,25
18.01.2022;11:00;12:00;72.294,25;60.718,25;248,25
18.01.2022;12:00;13:00;72.576,25;59.763;357,75
18.01.2022;13:00;14:00;72.159,75;59.850,25;397
18.01.2022;14:00;15:00;71.201,75;60.225;193,75
18.01.2022;15:00;16:00;70.675,5;61.277,75;14
18.01.2022;16:00;17:00;70.632,75;62.835,25;13,5
18.01.2022;17:00;18:00;73.344,5;65.054,75;2,5
18.01.2022;18:00;19:00;73.253;64.390,25;5,75
18.01.2022;19:00;20:00;71.255,25;61.369,5;47,75
18.01.2022;20:00;21:00;67.734;56.860;151,5
18.01.2022;21:00;22:00;64.852,5;51.813,75;524,75
18.01.2022;22:00;23:00;62.531,25;48.055,5;691
18.01.2022;23:00;00:00;58.942,5;43.681,5;1.587,75
19.01.2022;00:00;01:00;56.152,5;40.172,75;3.293,75
19.01.2022;01:00;02:00;55.550,25;38.870,25;4.927,5
19.01.2022;02:00;03:00;54.494,75;37.659,5;4.516,25
19.01.2022;03:00;04:00;54.603;37.923,75;3.799,25
19.01.2022;04:00;05:00;55.509,25;39.021;2.470
19.01.2022;05:00;06:00;59.003;41.454,75;2.395,75
19.01.2022;06:00;07:00;65.861,75;48.050;751,5
19.01.2022;07:00;08:00;71.916,75;52.191,75;381,25
19.01.2022;08:00;09:00;74.451;53.042;16
19.01.2022;09:00;10:00;75.362,5;49.669,5;451,25
19.01.2022;10:00;11:00;75.483,25;46.702,5;53,75
19.01.2022;11:00;12:00;75.729,75;43.731,5;281,5
19.01.2022;12:00;13:00;76.242,25;41.692,75;624,25
19.01.2022;13:00;14:00;75.860,75;40.939;155,5
19.01.2022;14:00;15:00;74.975,5;39.797,5;165,5
19.01.2022;15:00;16:00;74.729,25;40.186,5;85,5
19.01.2022;16:00;17:00;75.082;40.687,25;14,5
19.01.2022;17:00;18:00;77.775,75;41.482;66,75
19.01.2022;18:00;19:00;77.388,25;39.438,75;445,25
19.01.2022;19:00;20:00;75.567;36.624,75;1.189
19.01.2022;20:00;21:00;71.730,5;30.900,75;2.992
19.01.2022;21:00;22:00;67.735,25;26.741,75;3.728,5
19.01.2022;22:00;23:00;65.070;26.305,5;3.229,75
19.01.2022;23:00;00:00;61.352,75;23.338,75;4.174,75
20.01.2022;00:00;01:00;58.389,25;20.742;3.522
20.01.2022;01:00;02:00;56.768,75;19.218,25;5.106,25
20.01.2022;02:00;03:00;55.854,75;19.075,5;5.097,25
